Interval*, Interval_length, Observed_Change_percent_of_intervals_domain, Annual_Change_percent_of_intervals_domain, Uniform_annual_change_percent_of_all_domains, Hypothesized_error_percent_of_intervals_domain, Uniform_change_percent_of_intervals_domain, Commission_intensity_percent_of_change, Omission_intensity_percent_of_change, 
1, 2, 0.109377157851126, 0.0546885789255628, 0.102539516139157, 0, 0.109377157851126, 0, 46.6658504109337, 
2, 2, 0.0848639690650463, 0.0424319845325231, 0.102539516139157, 0, 0.0848639690650463, 0, 58.6188952998975, 
3, 2, 0.448902085347328, 0.224451042673664, 0.102539516139157, 0.243823053069014, 0.205079032278314, 54.3154200053139, 0, 
4, 2, 0.83092804861207, 0.415464024306035, 0.102539516139157, 0.86967206940277, -0.0387440207906994, 75.3192791336307, 0, 
6, 2, 0.488606546057174, 0.244303273028587, 0.102539516139157, 1.39702263625064, -0.908416090193469, 58.0277763502749, 0, 
7, 2, 0.0508562353266123, 0.0254281176633062, 0.102539516139157, 2.51051775872243, 2.56137399404904, 0, 75.2016406740232, 
8, 2, 0.0646319569120287, 0.0323159784560144, 0.102539516139157, 5.02103551744485, 5.08566747435688, 0, 68.4843661519154, 
9, 2, 0.0985706394144455, 0.0492853197072228, 0.102539516139157, 10.0420710348897, 10.1406416743042, 0, 51.9352913267727, 
10, 2, 0.0371495649772131, 0.0185747824886065, 0.102539516139157, 20.0841420697794, 20.1212916347566, 0, 81.885244647148, 
11, 2, 0.0419831514984118, 0.0209915757492059, 0.102539516139157, 40.1682841395588, 40.2102672910572, 0, 79.5283062183382, 
